Business License,Business Name,Address,City,State,Zip Code,Location,Last Inspection Date
09FOOD-0032,Subway #46751,1900 DEMPSTER ST C,Evanston,IL,60202,"1900 DEMPSTER ST C
Evanston, IL 60202
(42.041109, -87.70006)",01/10/2018
09FOOD-0015,Dar-Us-Sunnah Masjid & Community Center,2045 BROWN AVE,Evanston,IL,60201,"2045 BROWN AVE
Evanston, IL 60201
(42.055088, -87.700416)",01/10/2018
11FOOD-0003,Shop Now Food and Grocery,1942 MAPLE AVE,Evanston,IL,60201,"1942 MAPLE AVE
Evanston, IL 60201
(42.053481, -87.684718)",02/22/2018
09FOOD-0396,First Church of God Christian Life Center,1524 SIMPSON ST,Evanston,IL,60201,"1524 SIMPSON ST
Evanston, IL 60201
(42.055728, -87.693729)",03/29/2018
13FOOD-0013,Norris Center Bookstore #668,1999 CAMPUS DR,Evanston,IL,60208,"1999 CAMPUS DR
Evanston, IL 60208
(42.053678, -87.6734)",04/26/2018
13FOOD-0018,Food 4 Less Fuel Center,2420 MAIN ST,Evanston,IL,60202,"2420 MAIN ST
Evanston, IL 60202
(42.03367, -87.708351)",06/18/2018
09FOOD-0153,Oakton Shell,2494 OAKTON ST,Evanston,IL,60202,"2494 OAKTON ST
Evanston, IL 60202
(42.026413, -87.708347)",06/20/2018
09FOOD-0311,Walgreens #4218,900 DODGE AVE,Evanston,IL,60202,"900 DODGE AVE
Evanston, IL 60202
(42.034193, -87.699308)",06/25/2018
17FOOD-0017,Summer Food - Robert Crown Community Center Site# 18094,1701 MAIN ST,Evanston,IL,60202,"1701 MAIN ST
Evanston, IL 60202
(42.033952, -87.695914)",07/17/2018
18FOOD-0020,Summer Food - Salvation Army Evanston,1403 SHERMAN AVE,Evanston,IL,60201,"1403 SHERMAN AVE
Evanston, IL 60201
(42.042791, -87.681809)",07/17/2018
17FOOD-0019,Summer Food - Fleetwood Jourdain Community Center Site#18095,1655 FOSTER ST,Evanston,IL,60201,"1655 FOSTER ST
Evanston, IL 60201
(42.053862, -87.695176)",07/17/2018
17FOOD-0023,Summer Food - Oakton School Site# 11140,436 RIDGE AVE,Evanston,IL,60202,"436 RIDGE AVE
Evanston, IL 60202
(42.026243, -87.685417)",07/17/2018
18FOOD-0009,Papa John's,1743 BENSON AVE,Evanston,IL,60201,"1743 BENSON AVE
Evanston, IL 60201
(42.049762, -87.683362)",07/18/2018
13FOOD-0014,7-Eleven #33961B,817 DAVIS ST,Evanston,IL,60201,"817 DAVIS ST
Evanston, IL 60201
(42.046992, -87.68298)",07/25/2018
13FOOD-0045,Starbucks #243,1734 SHERMAN AVE,Evanston,IL,60201,"1734 SHERMAN AVE
Evanston, IL 60201
(42.049558, -87.681792)",07/27/2018
09FOOD-0307,Starbucks #241,528 DEMPSTER ST,Evanston,IL,60202,"528 DEMPSTER ST
Evanston, IL 60202
(42.041205, -87.680319)",07/30/2018
17FOOD-0032,Beer on Central,1930 CENTRAL ST,Evanston,IL,60201,"1930 CENTRAL ST
Evanston, IL 60201
(42.064322, -87.700073)",07/31/2018
14FOOD-0029,Beth's Little Bake Shop,1814 CENTRAL ST,Evanston,IL,60201,"1814 CENTRAL ST
Evanston, IL 60201
(42.064302, -87.697817)",08/01/2018
09FOOD-0306,Starbucks #8667,3330 CENTRAL ST,Evanston,IL,60201,"3330 CENTRAL ST
Evanston, IL 60201
(42.064577, -87.726773)",08/02/2018
17FOOD-0008,Backlot Coffee,2006 CENTRAL ST,Evanston,IL,60201,"2006 CENTRAL ST
Evanston, IL 60201
(42.064339, -87.70131)",08/03/2018
10FOOD-0044,Subway #46614,1133 EMERSON ST,Evanston,IL,60201,"1133 EMERSON ST
Evanston, IL 60201
(42.052151, -87.687242)",08/08/2018
08FOOD-0175,Dunkin' Donuts Baskin-Robbins,1900 DEMPSTER ST D,Evanston,IL,60202,"1900 DEMPSTER ST D
Evanston, IL 60202
(42.041109, -87.70006)",08/08/2018
17FOOD-0005,Evanston Games and Cafe,1610 MAPLE AVE,Evanston,IL,60201,"1610 MAPLE AVE
Evanston, IL 60201
(42.047432, -87.684982)",08/09/2018
08FOOD-0181,Dunkin' Donuts & Baskin-Robbins,2658 GREEN BAY RD,Evanston,IL,60201,"2658 GREEN BAY RD
Evanston, IL 60201
(42.066101, -87.700307)",08/09/2018
16FOOD-0040,Pizza Hut #32451,951 HOWARD ST,Evanston,IL,60202,"951 HOWARD ST
Evanston, IL 60202
(42.019514, -87.685188)",08/09/2018
17FOOD-0037,Frio Gelato,1301 CHICAGO AVE,Evanston,IL,60201,"1301 CHICAGO AVE
Evanston, IL 60201
(42.041324, -87.68059)",08/13/2018
09FOOD-0246,Chipotle Mexican Grill #87,711 CHURCH ST,Evanston,IL,60201,"711 CHURCH ST
Evanston, IL 60201
(42.048407, -87.681358)",08/15/2018
12FOOD-0034,Burger King #9067,1829 DEMPSTER ST,Evanston,IL,60201,"1829 DEMPSTER ST
Evanston, IL 60201
(42.041128, -87.698699)",09/04/2018
09FOOD-0303,Park School,828 MAIN ST,Evanston,IL,60202,"828 MAIN ST
Evanston, IL 60202
(42.033969, -87.683146)",09/05/2018
11FOOD-0025,Gordon Food Service Store,2424 OAKTON ST,Evanston,IL,60202,"2424 OAKTON ST
Evanston, IL 60202
(42.026413, -87.708481)",09/06/2018
16FOOD-0021,Levy at Ryan Fieldhouse & Walter Athletics Center,2255 CAMPUS DR,Evanston,IL,60208,"2255 CAMPUS DR
Evanston, IL 60208
(42.058257, -87.672887)",07/31/2018
09FOOD-0289,Haven Middle School,2417 PRAIRIE AVE,Evanston,IL,60201,"2417 PRAIRIE AVE
Evanston, IL 60201
(42.061338, -87.698409)",09/11/2018
17FOOD-0003,Aloha Poke,630 DAVIS ST,Evanston,IL,60201,"630 DAVIS ST
Evanston, IL 60201
(42.046612, -87.68124)",09/12/2018
09FOOD-0300,Lincolnwood Elementary School,2600 COLFAX ST,Evanston,IL,60201,"2600 COLFAX ST
Evanston, IL 60201
(42.06078, -87.70947)",09/12/2018
15FOOD-0039,Starbucks #2444,519 MAIN ST,Evanston,IL,60202,"519 MAIN ST
Evanston, IL 60202
(42.033938, -87.678781)",09/14/2018
09FOOD-0363,Dream About Tea,1011 DAVIS ST,Evanston,IL,60201,"1011 DAVIS ST
Evanston, IL 60201
(42.047059, -87.685526)",09/17/2018
09FOOD-0166,Sarpino's Pizza,2428 MAIN ST,Evanston,IL,60202,"2428 MAIN ST
Evanston, IL 60202
(42.033664, -87.707555)",09/18/2018
12FOOD-0047,The Wine Goddess,702 MAIN ST,Evanston,IL,60202,"702 MAIN ST
Evanston, IL 60202
(42.033963, -87.680542)",09/18/2018
09FOOD-0083,Sher-Main Grill,802 MAIN ST,Evanston,IL,60202,"802 MAIN ST
Evanston, IL 60202
(42.033971, -87.682467)",09/20/2018
09FOOD-0095,Great Harvest Bread Co.,2126 CENTRAL ST,Evanston,IL,60201,"2126 CENTRAL ST
Evanston, IL 60201
(42.064349, -87.702842)",09/20/2018
09FOOD-0133,Warren W. Cherry Preschool,1418 LAKE ST,Evanston,IL,60201,"1418 LAKE ST
Evanston, IL 60201
(42.044251, -87.692798)",09/21/2018
09FOOD-0202,"Barnes & Noble Booksellers, Inc.",1630 SHERMAN AVE,Evanston,IL,60201,"1630 SHERMAN AVE
Evanston, IL 60201
(42.048083, -87.681817)",09/21/2018
09FOOD-0053,Target Store T-927,2209 HOWARD ST,Evanston,IL,60202,"2209 HOWARD ST
Evanston, IL 60202
(42.019249, -87.70456)",09/24/2018
11FOOD-0015,Evanston 1st Liquors,1019 DAVIS ST,Evanston,IL,60201,"1019 DAVIS ST
Evanston, IL 60201
(42.047063, -87.685817)",09/25/2018
18FOOD-0040,10Q Chicken,816 CHURCH ST,Evanston,IL,60201,"816 CHURCH ST
Evanston, IL 60201
(42.048471, -87.682879)",09/25/2018
14FOOD-0042,Hyatt House,1515 CHICAGO AVE,Evanston,IL,60201,"1515 CHICAGO AVE
Evanston, IL 60201
(42.045697, -87.679946)",09/26/2018
09FOOD-0106,Evanston Hospital,1301 CENTRAL ST,Evanston,IL,60201,"1301 CENTRAL ST
Evanston, IL 60201
(42.064249, -87.689854)",09/26/2018
15FOOD-0052,Dollar Tree,1928 DEMPSTER ST,Evanston,IL,60202,"1928 DEMPSTER ST
Evanston, IL 60202
(42.041109, -87.700019)",09/26/2018
13FOOD-0020,Walsh Natural Health LLC,2116 1/2 CENTRAL ST,Evanston,IL,60201,"2116 1/2 CENTRAL ST
Evanston, IL 60201
(42.064349, -87.70294)",09/28/2018
18FOOD-0002,The Spice House,1941 CENTRAL ST,Evanston,IL,60201,"1941 CENTRAL ST
Evanston, IL 60201
(42.06433, -87.700672)",09/28/2018
15FOOD-0013,Jimmy John's Restaurant,1241 CHICAGO AVE,Evanston,IL,60202,"1241 CHICAGO AVE
Evanston, IL 60202
(42.040642, -87.680588)",10/02/2018
09FOOD-0051,Vinic Wine Company,1509 CHICAGO AVE,Evanston,IL,60201,"1509 CHICAGO AVE
Evanston, IL 60201
(42.045412, -87.680082)",10/02/2018
16FOOD-0022,Asian Cajun Too,1322 CHICAGO AVE,Evanston,IL,60201,"1322 CHICAGO AVE
Evanston, IL 60201
(42.042042, -87.680584)",10/02/2018
15FOOD-0015,Epic Burger,1622 SHERMAN AVE,Evanston,IL,60201,"1622 SHERMAN AVE
Evanston, IL 60201
(42.047955, -87.681821)",10/01/2018
17FOOD-0033,Amanacer Taco Shop,512 MAIN ST,Evanston,IL,60202,"512 MAIN ST
Evanston, IL 60202
(42.033936, -87.678299)",10/01/2018
09FOOD-0107,Fleetwood Jourdain Community Center,1655 FOSTER ST,Evanston,IL,60201,"1655 FOSTER ST
Evanston, IL 60201
(42.053862, -87.695176)",10/01/2018
09FOOD-0069,Evanston Grill,1047 CHICAGO AVE B,Evanston,IL,60202,"1047 CHICAGO AVE B
Evanston, IL 60202
(42.037386, -87.680076)",10/02/2018
09FOOD-0178,St. Athanasius School,2510 ASHLAND AVE,Evanston,IL,60201,"2510 ASHLAND AVE
Evanston, IL 60201
(42.062891, -87.693911)",10/03/2018
10FOOD-0008,Andy's Frozen Custard,719 CHURCH ST,Evanston,IL,60201,"719 CHURCH ST
Evanston, IL 60201
(42.048443, -87.681482)",10/03/2018
18FOOD-0038,Spoonfoolery,2113 GREENLEAF ST 4,Evanston,IL,60202,"2113 GREENLEAF ST 4
Evanston, IL 60202
(42.037436, -87.702767)",10/04/2018
09FOOD-0120,J. D. Mills Health Food,"635 CHICAGO AVE, UNIT 4",Evanston,IL,60202,"635 CHICAGO AVE, UNIT 4
Evanston, IL 60202
(42.030021, -87.678603)",10/09/2018
12FOOD-0054,Walgreens #15364,635 CHICAGO AVE,Evanston,IL,60202,"635 CHICAGO AVE
Evanston, IL 60202
(42.030021, -87.678603)",10/09/2018
09FOOD-0309,Starbucks #255,2114 CENTRAL ST,Evanston,IL,60201,"2114 CENTRAL ST
Evanston, IL 60201
(42.064349, -87.702761)",10/10/2018
09FOOD-0366,Davis Pantry,927 DAVIS ST,Evanston,IL,60201,"927 DAVIS ST
Evanston, IL 60201
(42.047049, -87.684814)",10/10/2018
09FOOD-0398,First United Methodist Church,516 CHURCH ST,Evanston,IL,60201,"516 CHURCH ST
Evanston, IL 60201
(42.047416, -87.677723)",10/10/2018
16FOOD-0030,Papa Philly,1608 EMERSON ST,Evanston,IL,60201,"1608 EMERSON ST
Evanston, IL 60201
(42.052148, -87.694941)",10/12/2018
09FOOD-0327,CVS/Pharmacy #3901,1711 SHERMAN AVE,Evanston,IL,60201,"1711 SHERMAN AVE
Evanston, IL 60201
(42.04897, -87.681811)",10/12/2018
